,,,,,,,,,,,,,,,,,,
Area,SHIPPER,INISIAL SHIPPER,Concat,Jenis Perjanjian,Status Perjanjian,NO. PERJANJIAN (TRANSPORTER),SEGMEN BISNIS,Priority,TGL PERJANJIAN,Start,End,Status,Target KPI (TW),Realisasi (TW),PIC,Attachement,Keterangan,
OKA,PT PUPUK KALIMANTAN TIMUR,PKT,OKA PKT ,AMD,EXISTING,077/PG0000/2021-S0,TRANSP. GAS,,7/5/2021,1/1/2020,12/31/2028,DONE,,,,,,
OKA,PT PLN,PLN BONTANG,OKA PLN BONTANG ,AMD-II,EXISTING,150/PG0000/2025-S0,TRANSP. GAS,,11/19/2025,11/19/2025,12/31/2028,DONE,,,,,,
OKA,PT KALTIM DAYA MANDIRI,KDM,OKA KDM ,AMD-IV,EXISTING,079/PG0000/2021-S0,TRANSP. GAS,,6/30/2021,1/1/2022,12/31/2031,DONE,,,,,,
OKA,PT PERTAMINA HULU KALIMANTAN TIMUR,PHKT,OKA PHKT ,AMD,EXISTING,165/PG0000/2024-S0,TRANSP. GAS,,9/9/2024,1/1/2024,12/31/2026,Need Follow Up,,,,,Akan terminasi,
OKA,PT BONTANG MIGAS ENERGI,BME,OKA BME ,AMD III,EXISTING,090/PG0000/2023-S0,TRANSP. GAS,,8/7/2023,8/7/2023,12/31/2023,Terminate,,,,,Akan terminasi,
OKA,PT BAYU BUANA GEMILANG,BBG,OKA BBG ,PPG,BARU,,TRANSP. GAS,,,,,Need Action,,,,,Menggantikan BME,
ONSA,PT PUPUK ISKANDAR MUDA,PIM,ONSA PIM ,AMD-IV KB,EXISTING,230/PG0000/2024-S0,TRANSP. GAS,,12/31/2024,1/1/2025,12/31/2025,Need Follow Up,,,,,,
ONSA,PT PLN (Persero) ARBEL,PLN ARBEL,ONSA PLN ARBEL ,AMD-II,EXISTING,089/PG0000/2023-S0,TRANSP. GAS,,8/3/2023,7/29/2023,12/31/2034,DONE,,,,,,
ONSA,PT PERTAMINA EP,PEP,ONSA PEP ,AMD,EXISTING,088/PG0000/2019-S0,TRANSP. GAS,,5/16/2019,5/16/2019,6/30/2027,DONE,,,,,,
ONSA,PT PERTAGAS NIAGA (ARBEL),PTGN ARBEL,ONSA PTGN ARBEL ,AMD-V,EXISTING,161/PG0000/2023-S0,TRANSP. GAS,,10/13/2023,10/13/2023,12/31/2036,DONE,,,,,,
