Area;Ruas Pipa;Inch;Km;Kapasitas Desain (BOPD);"Tarif Pipa
(USD/BBL)"
CSA;Tempino - Plaju;8;262;24000;6,10
ROKAN;Rokan;4-24;367;280000;2,58
;TOTAL;;;;
